LanguageKey;locale;LanguageText
EN;en;English
DE;en;German
FR;en;French
PT;en;Portuguese
ES;en;Spanish
IT;en;Italian
TR;en;Turkish
EN;tr;İngilizce
DE;tr;Almanca
FR;tr;Fransızca
PT;tr;Portekizce
ES;tr;İspanyolca
IT;tr;İtalyanca
TR;tr;Türkçe
EN;it;Inglese
DE;it;Tedesco
FR;it;Francese
PT;it;Portoghese
ES;it;Spagnolo
IT;it;Italiano
TR;it;Turco
EN;es;Inglés
DE;es;Alemán
FR;es;Francés
PT;es;Portugués
ES;es;Español
IT;es;Italiano
TR;es;Turco
EN;pt;Inglês
DE;pt;Alemão
FR;pt;Francês
PT;pt;Português
ES;pt;Espanhol
IT;pt;Italiano
TR;pt;Turco
EN;fr;Anglais
DE;fr;Allemand
FR;fr;Français
PT;fr;Portugais
ES;fr;Espagnol
IT;fr;Italien
TR;fr;Turc
EN;de;Englisch
DE;de;Deutsch
FR;de;Französisch
PT;de;Portugiesisch
ES;de;Spanisch
IT;de;Italienisch
TR;de;Türkisch
