IssueKey;locale;IssueText
01;en;Order incomplete
02;en;BASF checking routine not satisfied
03;en;Multiple Delivery Block in sales order
04;en;Multiple Delivery Block in outbound delivery
05;en;Outbound Delivery incomplete
06;en;Credit Block
07;en;GTS Block
08;en;Inbound delivery missing
09;en;Statistical goods receipt missing
10;en;PO creation failed
11;en;PO transmission failed
12;en;Billing block
13;en;Transfer of invoice to accounting failed
14;en;Sales Order quantity not fully confirmed
15;en;Delivery creation outstanding
16;en;Transportation planning outstanding
17;en;Picking of delivery outstanding
18;en;Goods issue posting outstanding
19;en;Invoice creation outstanding
20;en;Process order not released
21;en;Proof of delivery not posted
22;en;Business rule(s) violated (H)
23;en;Business rules violated (DO)
24;en;Business rule(s) violated (I)
25;en;Physical transport not completed
26;en;TRACE
27;en;Pre-leg missing
28;en;Process order not confirmed
29;en;Shipment Status unknown
30;en;Delivered Incorrectly
34;en;Sales Order quantity not fully confirmed
35;en;Delivery creation outstanding
36;en;Delivery Block in Sales Order
37;en;Delivery Block in Outbound Delivery
50;en;Post Goods Receipt
01;de;Auftrag unvollständig
02;de;BASF Prüfroutine nicht erfüllt
03;de;Multiple Liefersperre im Auftrag
04;de;Multiple Liefersperre in Auslieferung
05;de;Auslieferung unvollständig
06;de;Kreditsperre
07;de;GTS Sperre
08;de;Anlieferung fehlt
09;de;Statistischer Wareneingang fehlt
10;de;Bestellung wurde nicht angelegt
11;de;Bestellung wurde nicht übertragen
12;de;Fakturasperre
13;de;Überleitung an Buchhaltung gescheitert
14;de;Auftragsmenge nicht voll bestätigt
15;de;Lieferungsanlage ausstehend
16;de;Transportplanung ausstehend
17;de;Kommissionierung ausstehend
18;de;WA Buchung ausstehend
19;de;Rechnungsanlage ausstehend
20;de;Prozessauftrag nicht freigegeben
21;de;LEB nicht bestätigt
22;de;Business rule(s) nicht eingehalten (H)
23;de;Business rules nicht eingehalten (DO)
24;de;Business rule(s) nicht eingehalten (I)
25;de;Transport nicht abgeschlossen
26;de;TRACE
27;de;Vorlauf fehlt
28;de;Prozessauftrag nicht rückgemeldet
29;de;Shipment Status unknown
30;de;Delivered Incorrectly
34;de;Auftragsmenge nicht voll bestätigt
35;de;Lieferungsanlage ausstehend
36;de;Liefersperre im Auftrag
37;de;Liefersperre in Auslieferung
50;de;Wareneingangsbestätigung
01;es;Pedido incompleto
02;es;Rutinas de control BASF no satisfechas
03;es;Multiple Delivery Block en pedido de venta
04;es;Multiple Delivery Block en entrega de salida
05;es;Entrega de salida incompleta
06;es;Bloqueo de crédito
07;es;Bloqueo GTS
08;es;Entrega entrante no existe
09;es;Entrada mercancías estadística no existe
10;es;Ha fallado creación del pedido de compras
11;es;Ha fallado la transmisión del pedido de compras
12;es;Bloqueo de facturación
13;es;Ha fallado transmisión de la factura a contabilidad
14;es;Cantidad pedido de ventas no confirmada completamente
15;es;Creación de entrega pendiente
16;es;Planificación transporte pendiente
17;es;Picking de la entrega pendiente
18;es;Contabilización de salida mercancía pendiente
